link,number_of_rooms,number_of_bedrooms,number_of_bathrooms,area_type,area_value,occupancy,additional_features,year_built,parking_total,Title,Price,Location
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/21888546?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,Net area,452 sqft,5 days after acceptance of promise to rent,"Animals not allowed, Smoking not allowed",2023,Garage (1),"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1245, Rue De Bleury, apt. 2806, 21888546 - Centris.ca","$2,000 /month","1245, Rue De Bleury, apt. 2806
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~repentigny-repentigny/21931023?view=Summary&uc=3,7 rooms,2 bedrooms,1 bathroom,Net area,916 sqft,2024-06-30,"Animals not allowed, Smoking not allowed",2011,Driveway (2),"Condo / Apartment for rent in Repentigny (Repentigny), Lanaudière, 4, Rue Babin, apt. 103, 21931023 - Centris.ca","$1,700 /month","4, Rue Babin, apt. 103
Repentigny (Repentigny)"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-mercier-hochelaga-maisonneuve/16169626?view=Summary&uc=3,3 rooms,1 bedroom,1 bathroom,N/A,N/A,2024-05-30,"Animals not allowed, Smoking not allowed",N/A,N/A,"Condo / Apartment for rent in Montréal (Mercier/Hochelaga-Maisonneuve), Montréal (Island), 1894, Avenue Aird, 16169626 - Centris.ca","$1,250 /month","1894, Avenue Aird
Montréal (Mercier/Hochelaga-Maisonneuve)
Neighbourhood Hochelaga-Maisonneuve"
https://www.centris.ca/en/condos-apartments~for-rent~gatineau-hull/16828697?view=Summary&uc=3,7 rooms,1 bedroom,1 bathroom,Net area,806 sqft,2024-08-01,"Located on a river, Pets allowed with conditions, Elevator, Semi-furnished, Private balcony, Roof terrace, Fitness room, Bicycle storage area",2018,Garage (1),"Condo / Apartment for rent in Gatineau (Hull), Outaouais, 508, Rue Jos-Montferrand, apt. 40, 16828697 - Centris.ca","$2,150 /month","508, Rue Jos-Montferrand, apt. 40
Gatineau (Hull)
Neighbourhood Île de Hull"
https://www.centris.ca/en/condos-apartments~for-rent~laval-chomedey/12419348?view=Summary&uc=3,2 rooms,2 bedrooms,2 bathrooms,Gross area,"1,178 sqft",15 days after acceptance of promise to rent,"Animals allowed, Smoking not allowed, Elevator, Private balcony, Roof terrace",2023,Garage (1),"Condo / Apartment for rent in Laval (Chomedey), Laval, 645, Chemin du Trait-Carré, apt. 402, 12419348 - Centris.ca","$2,150 /month","645, Chemin du Trait-Carré, apt. 402
Laval (Chomedey)
Neighbourhood Others"
https://www.centris.ca/en/houses~for-rent~longueuil-saint-hubert/26123104?view=Summary&uc=3,12 rooms,4 bedrooms (1 in basement),3 bathrooms and 1 powder room,Lot area,"5,000 sqft",2024-09-01,N/A,2016,N/A,"House for rent in Longueuil (Saint-Hubert), Montérégie, 4420, Rue Belmont, 26123104 - Centris.ca","$3,600 /month","4420, Rue Belmont
Longueuil (Saint-Hubert)
Neighbourhood Westley"
https://www.centris.ca/en/condos-apartments~for-rent~laval-sainte-rose/15098220?view=Summary&uc=3,7 rooms,2 bedrooms,1 bathroom,N/A,N/A,3 days after acceptance of promise to rent,"Animals not allowed, Smoking not allowed, Internet included, Private balcony, Fitness room",1990,Driveway (1),"Condo / Apartment for rent in Laval (Sainte-Rose), Laval, 351, Rue Corbin, 15098220 - Centris.ca","$1,700 /month","351, Rue Corbin
Laval (Sainte-Rose)
Neighbourhood Renaissance"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/18651307?view=Summary&uc=3,4 rooms,1 bedroom in basement,1 bathroom,Net area,633 sqft,5 days after acceptance of promise to rent,Elevator,"2022, New",N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1180, Rue De Bleury, apt. 2103, 18651307 - Centris.ca","$2,026 /month","1180, Rue De Bleury, apt. 2103
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-leonard/25914572?view=Summary&uc=3,5 rooms,1 bedroom in basement,1 bathroom,N/A,N/A,10 days after acceptance of promise to rent,"Animals not allowed, Smoking not allowed",N/A,N/A,"Condo / Apartment for rent in Montréal (Saint-Léonard), Montréal (Island), 9220A, Rue Salvaye, 25914572 - Centris.ca","$1,000 /month","9220A, Rue Salvaye
Montréal (Saint-Léonard)"
https://www.centris.ca/en/condos-apartments~for-rent~brossard/25347505?view=Summary&uc=3,3 rooms,1 bedroom,1 bathroom,N/A,N/A,3 days after acceptance of promise to rent,N/A,2024,Garage (1),"Condo / Apartment for rent in Brossard, Montérégie, 505, Rue de l'Escale, apt. 116, 25347505 - Centris.ca","$1,900 /month","505, Rue de l'Escale, apt. 116
Brossard
Neighbourhood Street names (C)"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lachine/19648303?view=Summary&uc=3,6 rooms,2 bedrooms,1 bathroom,N/A,N/A,2024-05-01,"Animals allowed, Private balcony",N/A,Garage (1),"Condo / Apartment for rent in Montréal (Lachine), Montréal (Island), 2228, Rue Victoria, apt. 4, 19648303 - Centris.ca","$1,900 /month","2228, Rue Victoria, apt. 4
Montréal (Lachine)
Neighbourhood East"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/10551154?view=Summary&uc=3,5 rooms,2 bedrooms,2 bathrooms,Net area,884 sqft,5 days after acceptance of promise to rent,Elevator,"2022, New",N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1180, Rue De Bleury, apt. 516, 10551154 - Centris.ca","$2,747 /month","1180, Rue De Bleury, apt. 516
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/17273528?view=Summary&uc=3,5 rooms,1 bedroom,1 bathroom,Net area,604 sqft,5 days after acceptance of promise to rent,N/A,2013,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1414, Rue Chomedey, apt. 661, 17273528 - Centris.ca","$1,800 /month","1414, Rue Chomedey, apt. 661
Montréal (Ville-Marie)
Neighbourhood Central West"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/25788006?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,Net area,532 sqft,5 days after acceptance of promise to rent,Elevator,"2022, New",N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1180, Rue De Bleury, apt. 1909, 25788006 - Centris.ca","$1,794 /month","1180, Rue De Bleury, apt. 1909
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-leonard/28965734?view=Summary&uc=3,7 rooms,3 bedrooms,1 bathroom,N/A,N/A,2024-08-01,"Pets allowed with conditions, Adapted for reduced mobility, Semi-furnished, Private yard, Basement 6 feet or +",N/A,Driveway (2),"Condo / Apartment for rent in Montréal (Saint-Léonard), Montréal (Island), 8624, Rue Mance, 28965734 - Centris.ca","$2,500 /month","8624, Rue Mance
Montréal (Saint-Léonard)"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/23011806?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,Net area,532 sqft,5 days after acceptance of promise to rent,Elevator,"2022, New",N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1180, Rue De Bleury, apt. 2609, 23011806 - Centris.ca","$1,864 /month","1180, Rue De Bleury, apt. 2609
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~saint-paul/11642114?view=Summary&uc=3,9 rooms,3 bedrooms,1 bathroom,Net area,"1,076 sqft",2024-04-18,N/A,2023,Driveway (1),"Condo / Apartment for rent in Saint-Paul, Lanaudière, 774, boulevard de L'Industrie, apt. 202, 11642114 - Centris.ca","$1,505 /month","774, boulevard de L'Industrie, apt. 202
Saint-Paul"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/14080822?view=Summary&uc=3,5 rooms,1 bedroom,1 bathroom,Net area,829 sqft,2024-07-01,"Pets allowed with conditions, Smoking not allowed, Elevator, Furnished",2010,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1010, Rue Sainte-Catherine Est, apt. 303, 14080822 - Centris.ca","$1,700 /month","1010, Rue Sainte-Catherine Est, apt. 303
Montréal (Ville-Marie)
Neighbourhood Village"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/26103573?view=Summary&uc=3,5 rooms,2 bedrooms,1 bathroom,Net area,585 sqft,2024-06-19,Elevator,2020,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1288, Rue Saint-Antoine Ouest, apt. 3209, 26103573 - Centris.ca","$2,100 /month","1288, Rue Saint-Antoine Ouest, apt. 3209
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/24411021?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,Net area,550 sqft,5 days after acceptance of promise to rent,Elevator,"2022, New",N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1180, Rue De Bleury, apt. 301, 24411021 - Centris.ca","$2,074 /month","1180, Rue De Bleury, apt. 301
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/24182228?view=Summary&uc=3,5 rooms,2 bedrooms,1 bathroom,N/A,N/A,15 days after acceptance of promise to rent,"Smoking not allowed, Internet included, Near the REM",2023,N/A,"Condo / Apartment for rent in Montréal (Le Sud-Ouest), Montréal (Island), 215, Rue Murray, apt. 202, 24182228 - Centris.ca","$2,635 /month","215, Rue Murray, apt. 202
Montréal (Le Sud-Ouest)
Neighbourhood Griffintown"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/23550647?view=Summary&uc=3,3 rooms,1 bedroom,1 bathroom,Gross area,545 sqft,2024-09-01,"Animals not allowed, Smoking not allowed, Elevator, Semi-furnished, Private balcony",N/A,Garage (1),"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1155, Rue de la Montagne, apt. 3303, 23550647 - Centris.ca","$2,000 /month","1155, Rue de la Montagne, apt. 3303
Montréal (Ville-Marie)
Neighbourhood Golden Square Mile"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/15478773?view=Summary&uc=3,3 rooms,1 bedroom,1 bathroom,Gross area,545 sqft,2024-09-01,"Animals not allowed, Smoking not allowed, Elevator, Semi-furnished",N/A,Garage (1),"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1155, Rue de la Montagne, apt. 3403, 15478773 - Centris.ca","$1,900 /month","1155, Rue de la Montagne, apt. 3403
Montréal (Ville-Marie)
Neighbourhood Golden Square Mile"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/11967690?view=Summary&uc=3,5 rooms,3 bedrooms,1 bathroom,N/A,N/A,2024-07-01,N/A,N/A,N/A,"Condo / Apartment for rent in Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Montréal (Island), 4648, Avenue Lacombe, 11967690 - Centris.ca","$3,400 /month","4648, Avenue Lacombe
Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce)
Neighbourhood Côte-des-Neiges"
https://www.centris.ca/en/condos-apartments~for-rent~saint-hyacinthe/19061095?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,N/A,N/A,According to leases,"Animals not allowed, Smoking not allowed, Adapted for reduced mobility, Elevator, Semi-furnished","Under construction, New",Garage (1),"Condo / Apartment for rent in Saint-Hyacinthe, Montérégie, 3245, boulevard Laframboise, apt. 802, 19061095 - Centris.ca","$1,595 /month","3245, boulevard Laframboise, apt. 802
Saint-Hyacinthe
Neighbourhood Bourg-Joli/Bois-Joli"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/21694189?view=Summary&uc=3,8 rooms,3 bedrooms,2 bathrooms,Gross area,"1,065 sqft",2023-11-01,Elevator,"Under construction, New",N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 2121, Avenue Papineau, apt. 501, 21694189 - Centris.ca","$3,095 /month","2121, Avenue Papineau, apt. 501
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~baie-d-urfe/16704331?view=Summary&uc=3,6 rooms,2 bedrooms,1 bathroom,Net area,"1,102 sqft",2024-10-01,"Smoking not allowed, Elevator",1988,Driveway (1),"Condo / Apartment for rent in Baie-d'Urfé, Montréal (Island), 125, Rue Jean-De La Londe, apt. 103, 16704331 - Centris.ca","$1,850 /month","125, Rue Jean-De La Londe, apt. 103
Baie-d'Urfé
Neighbourhood West"
https://www.centris.ca/en/condos-apartments~for-rent~sainte-therese/14061769?view=Summary&uc=3,5 rooms,3 bedrooms,1 bathroom,Net area,"1,150 sqft",2024-06-01,N/A,1990,Driveway (2),"Condo / Apartment for rent in Sainte-Thérèse, Laurentides, 150, Avenue de Chambéry, 14061769 - Centris.ca","$1,850 /month","150, Avenue de Chambéry
Sainte-Thérèse
Neighbourhood Central (Old)"
https://www.centris.ca/en/condominium-houses~for-rent~quebec-la-cite-limoilou/28871284?view=Summary&uc=3,10 rooms,3 bedrooms,2 bathrooms and 1 powder room,N/A,N/A,15 days after acceptance of promise to rent,"Semi-furnished, Basement 6 feet or +",1999,Garage (2),"Condominium house for rent in Québec (La Cité-Limoilou), Capitale-Nationale, 30, Rue Mont-Carmel, 28871284 - Centris.ca","$3,950 /month","30, Rue Mont-Carmel
Québec (La Cité-Limoilou)
Neighbourhood Vieux-Québec/Cap-Blanc/Colline parlem."
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/18826359?view=Summary&uc=3,5 rooms,1 bedroom,1 bathroom,N/A,N/A,2024-06-01,N/A,N/A,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1400, Avenue des Pins Ouest, apt. 1506, 18826359 - Centris.ca","$1,650 /month","1400, Avenue des Pins Ouest, apt. 1506
Montréal (Ville-Marie)
Neighbourhood Golden Square Mile"
https://www.centris.ca/en/houses~for-rent~kirkland/17270359?view=Summary&uc=3,20 rooms,6 bedrooms (1 in basement),3 bathrooms and 1 powder room,Lot area,"9,590 sqft",2024-06-06,Furnished,N/A,"Driveway (4), Garage (2)","House for rent in Kirkland, Montréal (Island), 10, Rue du Sauvignon, 17270359 - Centris.ca","$5,300 /month","10, Rue du Sauvignon
Kirkland
Neighbourhood North East"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/14401698?view=Summary&uc=3,6 rooms,3 bedrooms,2 bathrooms,Net area,790 sqft,2024-09-01,"Animals not allowed, Smoking not allowed, Elevator, Furnished",2020,Garage (1),"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1182, Rue Crescent, apt. 406, 14401698 - Centris.ca","$3,200 /month","1182, Rue Crescent, apt. 406
Montréal (Ville-Marie)
Neighbourhood Golden Square Mile"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/22406266?view=Summary&uc=3,3 rooms,1 bedroom,1 bathroom,Net area,272 sqft,7 days after acceptance of promise to rent,"Elevator, Roof terrace, Fitness room, Near the REM","2024, New",N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 360, Rue Mayor, apt. 1611, 22406266 - Centris.ca","$1,300 /month","360, Rue Mayor, apt. 1611
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/houses~for-rent~saint-donat-lanaudiere/24238730?view=Summary&uc=3,11 rooms,3 bedrooms,1 bathroom and 1 powder room,N/A,N/A,2024-07-01,"Located on a lake, Navigable body of water, Pets allowed with conditions, Private yard, Private balcony, Basement 6 feet or +",2011,"Driveway (8), Garage (1)","House for rent in Saint-Donat (Lanaudière), Lanaudière, 7, Chemin Solange, 24238730 - Centris.ca","$2,300 /month","7, Chemin Solange
Saint-Donat (Lanaudière)"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-pierrefonds-roxboro/28680170?view=Summary&uc=3,3 rooms,1 bedroom,1 bathroom,Net area,439 sqft,2024-08-01,"Animals not allowed, Smoking not allowed, Elevator, Near the REM",1977,N/A,"Condo / Apartment for rent in Montréal (Pierrefonds-Roxboro), Montréal (Island), 5055, boulevard des Sources, apt. 408, 28680170 - Centris.ca","$1,525 /month","5055, boulevard des Sources, apt. 408
Montréal (Pierrefonds-Roxboro)
Neighbourhood Pierrefonds/Central East"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/21180555?view=Summary&uc=3,4 rooms,2 bedrooms,1 bathroom,Net area,835 sqft,2024-07-01,Semi-furnished,2023,Garage (1),"Condo / Apartment for rent in Montréal (LaSalle), Montréal (Island), 7227, boulevard Newman, apt. 407, 21180555 - Centris.ca","$2,200 /month","7227, boulevard Newman, apt. 407
Montréal (LaSalle)"
https://www.centris.ca/en/condos-apartments~for-rent~terrebonne-terrebonne/21549690?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,Gross area,643 sqft,5 days after acceptance of promise to rent,N/A,2022,N/A,"Condo / Apartment for rent in Terrebonne (Terrebonne), Lanaudière, 705, Avenue Pierre-Dansereau, apt. 1018, 21549690 - Centris.ca","$1,540 /month","705, Avenue Pierre-Dansereau, apt. 1018
Terrebonne (Terrebonne)
Neighbourhood Côte Terrebonne"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/16992577?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,Net area,653 sqft,15 days after acceptance of promise to rent,N/A,1950,N/A,"Condo / Apartment for rent in Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Montréal (Island), 3475, Avenue Ridgewood, apt. 303, 16992577 - Centris.ca","$1,600 /month","3475, Avenue Ridgewood, apt. 303
Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce)
Neighbourhood Côte-des-Neiges"
https://www.centris.ca/en/houses~for-rent~vaudreuil-dorion/11663889?view=Summary&uc=3,9 rooms,3 bedrooms (1 in basement),1 bathroom and 1 powder room,N/A,N/A,2024-06-01,"Animals not allowed, Smoking not allowed, Basement 6 feet or +",2021,Driveway (2),"House for rent in Vaudreuil-Dorion, Montérégie, 462, Rue Valois, apt. 114, 11663889 - Centris.ca","$2,300 /month","462, Rue Valois, apt. 114
Vaudreuil-Dorion
Neighbourhood Dorion"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/10702642?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,N/A,N/A,2024-08-04,Animals not allowed,N/A,N/A,"Condo / Apartment for rent in Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Montréal (Island), 5077, Rue Paré, apt. 416, 10702642 - Centris.ca","$1,900 /month","5077, Rue Paré, apt. 416
Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce)
Neighbourhood Côte-des-Neiges"
https://www.centris.ca/en/condos-apartments~for-rent~vaudreuil-dorion/14497352?view=Summary&uc=3,9 rooms,2 bedrooms,1 bathroom and 1 powder room,Net area,"1,012 sqft",2024-07-01,N/A,2022,N/A,"Condo / Apartment for rent in Vaudreuil-Dorion, Montérégie, 540, Rue Boileau, apt. 202, 14497352 - Centris.ca","$1,850 /month","540, Rue Boileau, apt. 202
Vaudreuil-Dorion
Neighbourhood Vaudreuil East"
https://www.centris.ca/en/condos-apartments~for-rent~repentigny-repentigny/18248673?view=Summary&uc=3,5 rooms,2 bedrooms in basement,1 bathroom,N/A,N/A,2024-07-01,"Furnished, Basement 6 feet or +, Near the REM",2003,N/A,"Condo / Apartment for rent in Repentigny (Repentigny), Lanaudière, 580, Rue De Coubertin, apt. A, 18248673 - Centris.ca","$1,500 /month","580, Rue De Coubertin, apt. A
Repentigny (Repentigny)"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/24068604?view=Summary&uc=3,8 rooms,2 bedrooms,1 bathroom,Net area,852 sqft,3 days after acceptance of promise to rent,"Semi-furnished, Private balcony",2012,Garage (1),"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1414, Rue Chomedey, apt. 463, 24068604 - Centris.ca","$2,200 /month","1414, Rue Chomedey, apt. 463
Montréal (Ville-Marie)
Neighbourhood Central West"
https://www.centris.ca/en/houses~for-rent~ham-nord/21582247?view=Summary&uc=3,11 rooms,3 bedrooms (2 in basement),2 bathrooms,Lot area,"3,798 sqft",2024-06-19,"Pets allowed with conditions, Smoking not allowed, Basement 6 feet or +",N/A,N/A,"House for rent in Ham-Nord, Centre-du-Québec, 5, Rue Nolette, 21582247 - Centris.ca","$1,725 /month","5, Rue Nolette
Ham-Nord"
https://www.centris.ca/en/condos-apartments~for-rent~l-ile-perrot/10912558?view=Summary&uc=3,7 rooms,3 bedrooms in basement,1 bathroom,N/A,N/A,2024-08-01,"Cats allowed, Dogs allowed, Smoking not allowed, Basement 6 feet or +","Under construction, New",Driveway (2),"Condo / Apartment for rent in L'Île-Perrot, Montérégie, 85, 5e Avenue, apt. A, 10912558 - Centris.ca","$1,900 /month","85, 5e Avenue, apt. A
L'Île-Perrot"
https://www.centris.ca/en/houses~for-rent~saint-sauveur/20254284?view=Summary&uc=3,16 rooms,4 bedrooms,2 bathrooms and 1 powder room,Lot area,"4,000 sqft",2024-05-30,Basement 6 feet or +,2000,"Driveway (6), Garage (1)","House for rent in Saint-Sauveur, Laurentides, 512, Montée Victor-Nymark, 20254284 - Centris.ca","$2,995 /month","512, Montée Victor-Nymark
Saint-Sauveur"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/9021712?view=Summary&uc=3,2 rooms,1 bedroom,1 bathroom,N/A,N/A,2024-07-01,N/A,2024,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1210, Rue Jeanne-Mance, apt. 4411, 9021712 - Centris.ca","$1,500 /month","1210, Rue Jeanne-Mance, apt. 4411
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~mont-royal/9306121?view=Summary&uc=3,7 rooms,2 bedrooms,2 bathrooms,N/A,N/A,2024-07-01,"Animals allowed, Smoking not allowed, Adapted for reduced mobility, Elevator, Private balcony, Fitness room, Near the REM",2023,Garage (1),"Condo / Apartment for rent in Mont-Royal, Montréal (Island), 205, Chemin Bates, apt. 604, 9306121 - Centris.ca","$2,290 /month","205, Chemin Bates, apt. 604
Mont-Royal"
https://www.centris.ca/en/condos-apartments~for-rent~pointe-fortune/22795826?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,N/A,N/A,2024-10-01,Smoking not allowed,"Under construction, New",Driveway (1),"Condo / Apartment for rent in Pointe-Fortune, Montérégie, 699, Chemin des Outaouais, apt. 101, 22795826 - Centris.ca","$1,370 /month","699, Chemin des Outaouais, apt. 101
Pointe-Fortune"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/19971483?view=Summary&uc=3,5 rooms,3 bedrooms,2 bathrooms,Gross area,"1,023 sqft",2024-08-01,"Pets allowed with conditions, Smoking not allowed, Semi-furnished, Internet included, Roof terrace, Fitness room",N/A,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 2114, Rue Sainte-Catherine Est, apt. 1108, 19971483 - Centris.ca","$3,350 /month","2114, Rue Sainte-Catherine Est, apt. 1108
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/21118504?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,Net area,592 sqft,5 days after acceptance of promise to rent,Elevator,"2022, New",N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1180, Rue De Bleury, apt. 510, 21118504 - Centris.ca","$1,879 /month","1180, Rue De Bleury, apt. 510
Montréal (Ville-Marie)
Neighbourhood Central"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/17614917?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,Gross area,555 sqft,3 days after acceptance of promise to rent,"Animals not allowed, Smoking not allowed, Elevator, Furnished, Roof terrace, Fitness room, Bicycle storage area",2020,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1239, Rue Drummond, apt. 1809, 17614917 - Centris.ca","$2,390 /month","1239, Rue Drummond, apt. 1809
Montréal (Ville-Marie)
Neighbourhood Golden Square Mile"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/16469145?view=Summary&uc=3,6 rooms,2 bedrooms,1 bathroom,Net area,"1,029 sqft",7 days after acceptance of promise to rent,"Pets allowed with conditions, Elevator, Fitness room, Bicycle storage area",2013,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1225, boulevard Robert-Bourassa, apt. 507, 16469145 - Centris.ca","$2,500 /month","1225, boulevard Robert-Bourassa, apt. 507
Montréal (Ville-Marie)
Neighbourhood Central West"
https://www.centris.ca/en/condos-apartments~for-rent~vaudreuil-dorion/24787313?view=Summary&uc=3,5 rooms,2 bedrooms,1 bathroom,N/A,N/A,2024-07-01,N/A,Unknown age,N/A,"Condo / Apartment for rent in Vaudreuil-Dorion, Montérégie, 47, Avenue Saint-Jean-Baptiste, 24787313 - Centris.ca","$1,750 /month","47, Avenue Saint-Jean-Baptiste
Vaudreuil-Dorion
Neighbourhood Dorion"
https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/26965102?view=Summary&uc=3,4 rooms,1 bedroom,1 bathroom,Net area,556 sqft,2024-06-01,Furnished,2017,N/A,"Condo / Apartment for rent in Montréal (Ville-Marie), Montréal (Island), 1450, boulevard René-Lévesque Ouest, apt. 610, 26965102 - Centris.ca","$1,950 /month","1450, boulevard René-Lévesque Ouest, apt. 610
Montréal (Ville-Marie)
Neighbourhood Golden Square Mile"
https://www.centris.ca/en/condos-apartments~for-rent~pointe-claire/11537646?view=Summary&uc=3,9 rooms,3 bedrooms,2 bathrooms,Net area,"1,217 sqft",5 days after acceptance of promise to rent,"Located on a river, Smoking not allowed, Elevator, Roof terrace, Fitness room, Bicycle storage area, Near the REM",2001,Garage (1),"Condo / Apartment for rent in Pointe-Claire, Montréal (Island), 18, Chemin du Bord-du-Lac-Lakeshore, apt. 612, 11537646 - Centris.ca","$2,750 /month","18, Chemin du Bord-du-Lac-Lakeshore, apt. 612
Pointe-Claire
Neighbourhood South East"
https://www.centris.ca/en/condominium-houses~for-rent~bromont/24853503?view=Summary&uc=3,13 rooms,3 bedrooms (1 in basement),2 bathrooms,Lot area,"2,679 sqft",2024-08-01,"Pets allowed with conditions, Smoking not allowed, Furnished, Internet included, Basement 6 feet or +",N/A,"Driveway (2), Garage (1)","Condominium house for rent in Bromont, Estrie, 287, Avenue de l'Hôtel-de-Ville, 24853503 - Centris.ca","$3,000 /month","287, Avenue de l'Hôtel-de-Ville
Bromont"
https://www.centris.ca/en/condos-apartments~for-rent~mont-tremblant/20705573?view=Summary&uc=3,13 rooms,4 bedrooms (1 in basement),2 bathrooms and 1 powder room,N/A,N/A,2023-06-01,N/A,N/A,N/A,"Condo / Apartment for rent in Mont-Tremblant, Laurentides, 118, Rue Nansen, 20705573 - Centris.ca","$5,000 /month","118, Rue Nansen
Mont-Tremblant
Neighbourhood Tremblant (Station)"
